desa  ,longitude,latitude,luas_sawah_ha,kec,c,clat,clong
Sumberputih,112.79711,-8.159606,60.0,Wajak,2,-8.076277541865924,60.962571606312025
Wonoayu,112.789684,-8.148373,1.0,Wajak,2,-8.076277541865924,60.962571606312025
Bambang,112.816311,-8.12818,1.0,Wajak,2,-8.076277541865924,60.962571606312025
Bringin,112.777828,-8.143676,107.0,Wajak,2,-8.076277541865924,60.962571606312025
Dadapan,112.747935,-8.130241,153.0,Wajak,0,-8.077813741918447,155.9316129943443
Patokpicis,112.768676,-8.120775,130.0,Wajak,0,-8.077813741918447,155.9316129943443
Blayu,112.74199099999998,-8.115414,147.0,Wajak,0,-8.077813741918447,155.9316129943443
Codo,112.720972,-8.134089,199.0,Wajak,0,-8.077813741918447,155.9316129943443
Sukolilo,112.709146,-8.114535,145.0,Wajak,0,-8.077813741918447,155.9316129943443
Kidangbang,112.700192,-8.097221000000001,167.0,Wajak,0,-8.077813741918447,155.9316129943443
Sukoanyar,112.718177,-8.090981,117.0,Wajak,0,-8.077813741918447,155.9316129943443
Wajak,112.736001,-8.100125,207.0,Wajak,0,-8.077813741918447,155.9316129943443
Ngembal,112.724128,-8.07052,71.0,Wajak,2,-8.076277541865924,60.962571606312025
Permanu,112.563167,-8.049031,130.13,Pakisaji,0,-8.077813741918447,155.9316129943443
Karangpandan,112.591499,-8.074401,153.0,Pakisaji,0,-8.077813741918447,155.9316129943443
Glanggang,112.599053,-8.087977,130.64,Pakisaji,0,-8.077813741918447,155.9316129943443
Sutojayan,112.610984,-8.071996,189.0,Pakisaji,0,-8.077813741918447,155.9316129943443
Wonokerso,112.616923,-8.081932,163.75,Pakisaji,0,-8.077813741918447,155.9316129943443
Karangduren,112.621411,-8.065072,181.5,Pakisaji,0,-8.077813741918447,155.9316129943443
Pakisaji,112.599054,-8.067656,85.0,Pakisaji,2,-8.076277541865924,60.962571606312025
Jatisari,112.575056,-8.048226,96.0,Pakisaji,2,-8.076277541865924,60.962571606312025
Wadung,112.58108500000002,-8.037912,155.0,Pakisaji,0,-8.077813741918447,155.9316129943443
